id,name,brand,sale,priceU,salePriceU
19876196,"Английский в фокусе 6 класс. Тренировочные упражнения ОГЭ. УМК ""Spotlight. Английский в фокусе""",Просвещение,35,2053,1334
113228420,Тетрадь для детей старшего дошкольного в,Детство-Пресс,17,738,612
57667567,Калинина Рабочая тетрадь 3 кл,Издательский дом В.Катанского,25,1116,836
10733341,Полный курс русского языка. 2 класс,Издательство АСТ,30,1453,1016
34389986,Чтение Работа с текстом 3 класс Крылова,Экзамен,25,1185,888
8264535,"Полная хрестоматия для начальной школы. 1 класс. 6-е изд., испр. и доп.",Эксмо,45,1554,854
26424876,Сборник для подготовки к ВПР (6 кл.),Издательство АСТ,20,2495,1996
79106385,"Голубь. Русский язык, Математика. 2 класс. Зачётная тетрадь. Тематический контроль знаний учащихся",М-Книга,0,1493,1493
121026928,ОГЭ-2023. Русский язык. Типовые экзаменационные варианты. 36 вариантов,Национальное Образование,50,4520,2260
15374858,Математика 3 класс. Рабочая тетрадь,Просвещение,46,3234,1746
95961037,УчПос.Александрова.Лит.чт.на родн.яз.3кл,Просвещение,25,4536,3402
115085337,ОГЭ 2023. География: 30 вариантов,Национальное Образование,55,4776,2149
33169781,Английский язык 3 класс Рабочая тетрадь Комарова,Русское слово,28,2646,1904
29460530,Технология. Рабочая тетрадь. 1 класс + вкладка,Просвещение,37,2406,1515
29507356,Окружающий мир. Тесты. 2 класс,Просвещение,47,2049,1086
67838403,Математика Дидактические материалы 6 кл.,Просвещение,40,1875,1124
62346849,География 10-11 класс. Атлас + Контурные карты (комплект 2 пособия),ДРОФА,25,1956,1466
8853702,Прописи для дошкольников. Линии и узоры.,Издательство Учитель,35,1793,1165
19647156,Топический диагноз в неврологии по Петер,Практическая медицина,45,15602,8580
87915196,Математика. 1 кл. Раб. тетр. В 2 ч.,Просвещение,40,3449,2069
33407509,"Юным умникам и умницам Информатика, логика, математика 3 класс Тетрадь Холодова (комплект 2 части)",Росткнига,31,1923,1327
96034324,Р/тет. Калинина Г.Ф. Сольфеджио. 1 кл,ИД Катанского,11,1128,1003
28852784,Окружающий мир. Проверочные работы. 2 класс.,Просвещение,26,1550,1147
94806381,Пособ. От слова к букве.5-7л.ч.1,Просвещение,25,2232,1673
65009293,Контурные карты 9 кл. География,Просвещение,25,1165,873
34447106,Веселая артикуляционная гимнастика. ФГОС,Детство-Пресс,54,2098,964
73182015,Ваулина. Английский в фокусе. 5 класс. Учебник,Просвещение,43,8115,4625
54672507,Карты географические Ламинированная / Настенная / 1:20 000 000,РПГ Карандаш,45,10550,5802
1945332,Универсальный словарь школьника: 1-4 классы,Эксмо,43,2544,1450
28221271,Окружающий мир. Тесты. 1 класс,Просвещение,30,1639,1147
32747399,Атлас Экономическая и социальная география мира 10 класс (с контурными картами) НКФ,Новосибирская картографическая фабрика,28,970,698
92427329,"Рабочая тетрадь ""Изучаем математику"", часть 1","Издательство ""Весна-дизайн""",67,1798,593
36181029,Английский язык 2 класс Рабочая тетрадь Комарова Русское слово,Русское слово,28,2995,2156
117745549,ОГЭ 2023 Русский язык. Тренажер,Экзамен,33,1684,1128
62324262,Холодова Юным умникам и умницам За Три месяца до школы. Рабочая тетрадь ФГОС,Росткнига,25,1830,1372
2286682,Универсальный справочник школьника. 1-4 классы,Эксмо,46,2844,1535
54671906,Карты географические настенная / политическая / 1:27 000 000,РПГ Карандаш,31,6918,4773
